Treatment,Dpi,Replication,Cq
Control,IL-1,1,22.09
Control,IL-1,2,21.93
Control,IL-1,3,21.78
Control,IL-4,1,22.41
Control,IL-4,2,22.17
Control,IL-4,3,22.06
Control,IL-7,1,23.18
Control,IL-7,2,23.27
Control,IL-7,3,23.35
Control,IL-10,1,21.24
Control,IL-10,2,21.19
Control,IL-10,3,21.18
Control,SL-7,1,30.15
Control,SL-7,2,30.23
Control,SL-7,3,30.01
Control,SL-10,1,25.87
Control,SL-10,2,26.2
Control,SL-10,3,25.83
P. fluorescens,IL-1,1,23.38
P. fluorescens,IL-1,2,23.23
P. fluorescens,IL-1,3,23.26
P. fluorescens,IL-4,1,21.82
P. fluorescens,IL-4,2,22.03
P. fluorescens,IL-4,3,22.21
P. fluorescens,IL-7,1,23.73
P. fluorescens,IL-7,2,23.48
P. fluorescens,IL-7,3,23.54
P. fluorescens,IL-10,1,24.12
P. fluorescens,IL-10,2,24.2
P. fluorescens,IL-10,3,24.12
P. fluorescens,SL-7,1,28.7
P. fluorescens,SL-7,2,28.55
P. fluorescens,SL-7,3,28.55
P. fluorescens,SL-10,1,31.63
P. fluorescens,SL-10,2,32.28
P. fluorescens,SL-10,3,32.35
S. marcescens,IL-1,1,22.66
S. marcescens,IL-1,2,22.78
S. marcescens,IL-1,3,22.87
S. marcescens,IL-4,1,22.86
S. marcescens,IL-4,2,22.92
S. marcescens,IL-4,3,23.05
S. marcescens,IL-7,1,23.76
S. marcescens,IL-7,2,23.69
S. marcescens,IL-7,3,23.71
S. marcescens,IL-10,1,22.7
S. marcescens,IL-10,2,22.79
S. marcescens,IL-10,3,22.91
S. marcescens,SL-7,1,29.83
S. marcescens,SL-7,2,29.5
S. marcescens,SL-7,3,29.94
S. marcescens,SL-10,1,31.1
S. marcescens,SL-10,2,31.16
S. marcescens,SL-10,3,31.2
B. amyloliquifaciens,IL-1,1,22.91
B. amyloliquifaciens,IL-1,2,22.97
B. amyloliquifaciens,IL-1,3,23.08
B. amyloliquifaciens,IL-4,1,21.34
B. amyloliquifaciens,IL-4,2,21.54
B. amyloliquifaciens,IL-4,3,21.62
B. amyloliquifaciens,IL-7,1,24.52
B. amyloliquifaciens,IL-7,2,24.59
B. amyloliquifaciens,IL-7,3,24.58
B. amyloliquifaciens,IL-10,1,22.56
B. amyloliquifaciens,IL-10,2,22.7
B. amyloliquifaciens,IL-10,3,22.69
B. amyloliquifaciens,SL-7,1,31.59
B. amyloliquifaciens,SL-7,2,31.64
B. amyloliquifaciens,SL-7,3,31.66
B. amyloliquifaciens,SL-10,1,31.95
B. amyloliquifaciens,SL-10,2,31.68
B. amyloliquifaciens,SL-10,3,32.31
B. subtilis,IL-1,1,22.36
B. subtilis,IL-1,2,22.26
B. subtilis,IL-1,3,22.48
B. subtilis,IL-4,1,21.27
B. subtilis,IL-4,2,21.49
B. subtilis,IL-4,3,21.51
B. subtilis,IL-7,1,21.44
B. subtilis,IL-7,2,21.6
B. subtilis,IL-7,3,21.45
B. subtilis,IL-10,1,23.83
B. subtilis,IL-10,2,23.92
B. subtilis,IL-10,3,23.77
B. subtilis,SL-7,1,29.64
B. subtilis,SL-7,2,29.64
B. subtilis,SL-7,3,29.92
B. subtilis,SL-10,1,31.84
B. subtilis,SL-10,2,32
B. subtilis,SL-10,3,31.67
